title,difficulty,topic,platform,url
Shuffle an Array,Medium,Design,LeetCode,https://leetcode.com/problems/shuffle-an-array/
Maximal Square,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/maximal-square/
Find the Winner of the Circular Game,Medium,Math,LeetCode,https://leetcode.com/problems/find-the-winner-of-the-circular-game/
Shortest Unsorted Continuous Subarray,Medium,Array,LeetCode,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/
Check Completeness of a Binary Tree,Medium,Tree,LeetCode,https://leetcode.com/problems/check-completeness-of-a-binary-tree/
Reverse String,Easy,String,LeetCode,https://leetcode.com/problems/reverse-string/
Kth Distinct String in an Array,Easy,Hash Table,LeetCode,https://leetcode.com/problems/kth-distinct-string-in-an-array/
Minimum Moves to Equal Array Elements II,Medium,Math,LeetCode,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/
Longest Common Subsequence,Medium,Dynamic Programming,LeetCode,https://leetcode.com/problems/longest-common-subsequence/
Min Stack,Easy,Stack,LeetCode,https://leetcode.com/problems/min-stack/
Implement Queue using Stacks,Easy,Stack,LeetCode,https://leetcode.com/problems/implement-queue-using-stacks/
Binary Tree Vertical Order Traversal,Medium,Tree,LeetCode,https://leetcode.com/problems/binary-tree-vertical-order-traversal/
Spiral Matrix II,Medium,Array,LeetCode,https://leetcode.com/problems/spiral-matrix-ii/
Set Intersection Size At Least Two,Hard,Greedy,LeetCode,https://leetcode.com/problems/set-intersection-size-at-least-two/
Maximum Length of a Concatenated String with Unique Characters,Medium,Backtracking,LeetCode,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/
Number of Ways to Reorder Array to Get Same BST,Hard,Tree,LeetCode,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst/
